GOID,Title,Date,Publisher,sent_of_interest,Sourcetype,Year,claude_category,group
2045956628,Obama turns left,12/13/2013,POLITICO LLC,"Give up on the Trans-Pacific Partnership trade deal talks, Ellison said, and insist that any tax reform bill come with enough closed loopholes to be revenue-positive.  “Until he says stuff like that, we’ve got a problem,” Ellison said, who noted that he felt the president’s income inequality speech was “awesome.”  Ellison knows that’s asking for a significant change from the president — but a necessary one.  “It’s tough to align a political vision with political action,” Ellison said. “To say we should go through Congress is like saying we should get Stevie Wonder to drive himself to the studio.”  In their “Economic Populism Is a Dead End for Democrats” Wall Street Journal op-ed, leaders of the Third Way centrist Democratic think tank caused an internal party explosion by saying having de Blasio and Warren as a “guiding star” nationally would be disastrous. But Third Way vice president Matt Bennett says the op-ed was really about opposing a run toward Social Security expansion, which he called bad politics and bad policy because there’s no clear way to pay for it.  Based on the income inequality speech, Bennett said Obama appears to be hitting the right balance and tone.  “What Obama understands is that anger is not enough in American politics.",Web Resources,2013,"person, policy, group, ideology","['Democrats', 'not Third Way']"
3129919106,Trump made biggest gains in Northeast Pa. communities Election 2024,11/13/2024,"Tribune Publishing Company, LLC","In the previous election, then-President Barack Obama beat Republican Mitt Romney by 27 points in the county. In 2020, Biden appeared to have reversed the trend, beating Trump by 8 percentage points in the county. But Trump struck back this year by shrinking his deficit to just 3 points against Harris. Those swings are emblematic of Rust Belt cities across the country, where working-class voters who were long loyal Democratic voters have embraced Trump's economic populism, including his protectionist trade agenda. Trump saw a combined swing of 2.5 percentage points in his margins in the 10 counties of Northeast Pennsylvania. He got 6% more votes this year there than in 2020, while Harris got 4% fewer votes than Biden in 2020. In the state's other 57 counties, the combined swing to Trump was only 0.9 points, with the former president getting 4% more votes than in 2020, and Harris 3% less than Biden.",Newspapers,2024,"person, policy, group",['working-class voters']
1448905066,What will happen in 2016?,11/6/2013,WP Company LLC d/b/a The Washington Post,"Opposition to gay marriage can be framed as defending the sacred institution of marriage against the liberal elites who would disgrace it; similarly, middle-class tax breaks can be marketed as recompense from the avarice of the rich. Social versus class war is a simplistic, but still useful way to summarize the last 40 years of American politics. Where might these undercurrents of American politics be dragging us today? I have argued before that the continued economic downturn and growing income disparity makes economic populism the more likely battleground in 2014 and 2016 than the ""guns, gays and God"" that has long characterized the Republican brand of social populism. But who will seize the populist economic argument and how will it be shaped? The tea party frames it as an epic struggle of individual freedom against government intrusion, a message which isn't new certainly but one Republicans hope is given new urgency by the botched roll-out of the new health law. (If Cuccinelli comes close in Virginia's gubernatorial race today, that should be seen as evidence of the energy in running against Obamacare.) The potential Democratic message isn't so clear; despite rumblings, there has been no sustained economic movement from the left since Occupy Wall Street introduced the concept of the one percent as shorthand for the skewing of wealth distribution in America.",Web Resources,2013,"ideology, group","['tea party', 'not Republicans', 'Occupy Wall Street']"
1712393952,Sanders winning over young voters,9/15/2015,"Uloop, Inc.","And much has been made of his rallies, which have routinely attracted tens of thousands of supporters. Perhaps most interesting is that many of Sanders' followers are young voters. His most vociferous supporters tend to congregate in more youthful fora: college campuses, message boards and Facebook pages. All seem drawn to his economic populism, his call for ""political revolution"" and his apparent personal incorruptibility. On its face, his candidacy seems to have the same magnetism as several other political candidates have exhibited in recent years. Just think of how Obama appealed to disaffected liberals in 2008 or how Ted Cruz has whipped Tea Party conservatives into a frenzy since 2013. Yet Sanders is running an altogether different campaign.",Newspapers,2015,"person, group, ideology",['young voters']
1927107629,Rigid party strategies pave a fast lane for an outsider,8/9/2017,"Atlanta Journal Constitution, LLC","But it is the dominant ideological force within the party (and mainstream media), and hence the leadership is very reluctant to broaden the party's message. Trump, meanwhile, has dedicated the first six months of his presidency to keeping his base happy. That's in part because he can't get legislation through Congress, so he tweets red meat to the faithful instead. The Democrats have settled on economic populism as their unifying theme, not so much because that's where all the passion is but because they can't agree on any other agenda that would enlarge their coalition. The GOP, in turn, is shrinking its ideological commitments -- and appeal -- and focusing instead on populist rage and the president's cult of personality. As a result, there's the potential for an opening in 2020 for some opportunistic figure -- Mark Zuckerberg? Michael Bloomberg?",Newspapers,2017,"ideology, group",['Democrats']
1549975853,"In Bank Debate, High Stakes for Texas Business and GOP",7/31/2014,The Texas Tribune,"But the GOP's response has laid bare a nascent intra-party divide, highlighted nowhere better than in Texas: Gov. Rick Perry has strongly supported the bank, while Sen. Ted Cruz voiced vociferous opposition in a USA Today column Wednesday. 

The opposition represents a new strain of economic populism among some of the party's most conservative leaders, who -- bolstered by Tea Party groups -- are tapping into a vein of discontent by decrying ""crony capitalism"" and the cozy relationship big business has long enjoyed with political elites. 

The catch is that those business interests have historically supported Republicans more often than Democrats. Therein lies one of the party's most significant growing rifts: Many in the GOP's establishment wing are deeply concerned that ideology could be blinding Tea Party legislators to the financial and political benefits of maintaining those ties. 

The bank's opponents have inertia on their side: If the House does nothing, the bank will die by default.",Newspapers,2014,"person, group, ideology",['Tea Party']
3059254163,ECONOMIST(THE) Geopolitics helps reignite New Caledonias anti-colonial unrest,5/25/2024,News Bites Pty Ltd,"The French pointed to interference not just from Baku but from Moscow and Beijing. 
Source : Company Website



INDEX
SECTION 1 PRESS RELEASES: 2024
SECTION 2 OTHER NEWS: 2024



SECTION 1 PRESS RELEASES: 2024

May 18: ECONOMIST(THE) Bayer wants legislative help to fight its cancer lawsuits

For all the partisan rancour in American politics, the Trump era has produced some surprising convergences between left and right. Republican isolationists and left-wing Democrats often share a scepticism of American military might. And economic populists on the left and right can agree on resisting reform of entitlements such as Social Security or supporting aggressive antitrust action. This dynamic has spread to the states too. Consider Missouri, where trial lawyers (traditionally big supporters of Democrats) recently worked with a hard-right group to stop a change to tort laws. 
Source : Company Website



May 14: ECONOMIST(THE) The Xi-Putin partnership is not a marriage of convenience

In march last year China's leader, Xi Jinping, paused at the door of the Kremlin.",Newspapers,2024,"group, ideology","['left-wing Democrats', 'Republican isolationists', 'economic populists']"
2730439794,"Elections aren’t only about ‘the economy, stupid’ — and never were",10/31/2022,WP Company LLC d/b/a The Washington Post,"But it's likely that Democrats would be poised to lose the House even if inflation weren't high — because the party in the White House almost always loses the House. 
Third, much of the intra-Democratic Party debate about the role of economic policy and rhetoric in electoral politics is really a coded conversation about gender, race and policy. Many Democratic-aligned strategists and officials (allies of Sen. Bernie Sanders of Vermont tend to hold this view in particular) want the party to embrace more economic populism and in some ways de-emphasize issues such as abortion and race. This is a policy view, but knowing that the broader Democratic Party is more united around beating Republicans than any set of policies, this bloc uses election narratives to push its policy stances. So anytime Democrats are struggling politically, this bloc says the party isn't talking about economic policy enough. Post-election, if Democrats lose, they will argue Democrats lost because they didn't talk about the economy enough.",Web Resources,2022,"person, policy, group, ideology",['Sanders allies']
2046691536,Clinton's Wall Street backers: We get it,4/15/2015,POLITICO LLC,"Warren, who insists she will not run, also brought up executive pay in a speech on Wednesday.  And while some liberals took notice of Clinton’s remarks, it is not as if she has suddenly become an anti-bank crusader. Left-wing groups are still interested in seeing her specific policy proposals, which Clinton’s team said will come in due course, once the candidate has finished her current swing of small meetings in the early-voting states.  “So far, so good in terms of Clinton’s rhetoric moving in an economic populist direction,” said Adam Green of the Progressive Change Campaign Committee, which is trying to push Clinton left. “We hope she thinks big and backs up her initial populist rhetoric with specifics that are big and bold in the days ahead.”  Anyway, say senior financiers, any grumbling comes from those who do not understand political reality or who are predisposed to oppose Clinton. They take refuge in the idea that Clinton’s rhetoric is more reflective of political necessity than some deep-seated animosity toward the wealthy.  “Basically this is a Rorschach test for how politically sophisticated people are,” said one Democrat at a top Wall Street firm.",Web Resources,2015,"person, policy, group",['Progressive Change Campaign Committee']
2046333033,Warren goes conservative with cash,1/23/2014,POLITICO LLC,"“The latest Republican filibusters over the extension of unemployment insurance are further indications that a Congress fully controlled by Republicans would be bad for working families and further tilt the playing field for powerful interests.”  Moderate Democratic candidates also have to be mindful of not appearing to Warren’s supporters to be at odds with her progressive approach.  Just ask Third Way, a centrist think tank, and its honorary co-chair Rep. Allyson Schwartz (D-Pa.), who is running for governor. Progressive activists attacked the group and Schwartz after two of its leaders wrote an op-ed in The Wall Street Journal criticizing Warren and others for embracing economic populism.  The fight just shored up the reputation of the activist left’s influence and viability.  “There are organizations that exist today that didn’t exist a couple of cycles ago — PCCC is on the radar on the screen. [Democracy for America] is on there, and groups like MoveOn.org,” Weiland said.",Web Resources,2014,"person, group","['progressives', 'activist left', 'PCCC', 'Democracy for America']"
1433080300,"Joy arises, rules fall apart: thoughts for the second anniversary of Occupy Wall Street",9/17/2013,OpenDemocracy,"Occupy Wall Street also built alliances around racist persecution that lasted well after most of the encampments were disbanded. Occupiers were there for everything from the Million Hoodie Marches to protest the slaying of Trayvon Martin in Florida to stop-and-frisk in New York City to racist bank policies and foreclosures in San Francisco.  There, a broad-based housing rights movement came out of Occupy that joined forces with the Alliance of Californians for Community Empowerment (ACCE) to address foreclosures, evictions, corrupt banking practices, and more. Last week a conservative warned that ""Occupy may soon occupy New York's City Hall,"" decrying mayoral front-runner Bill de Blasio's economic populism, alleged support for Occupy, and opposition to stop and frisk (while Schneider warns that the candidate is a liberal, not a radical). 

Part of what gave Occupy its particular beauty was the way the movement defined ""we"" as the 99%.  That (and that contagious meme the 1%) entered our language, offering a way of imagining the world so much more inclusive than just about anything that had preceded it. And what an inclusive movement it was: the usual young white suspects, from really privileged to really desperate, but also a range of participants from World War II to Iraq War veterans to former Black Panthers, from libertarians to liberals to anarchist insurrectionists, from the tenured to the homeless to hip-hop moguls and rock stars.",,2013,"group, ideology",['Occupy Wall Street']
2574539629,No so fast: Edwards mounts challenge,10/27/2015,Gannett Media Corp,"How long or serious that competition may be -- and at what cost to the party and its eventual nominee -- were open questions Tuesday night. After his performance of the past month, Kerry remains the formidable front-runner and clear favorite for the nomination. He has won 15 of the 17 primaries and caucuses, and he boasts a growing list of endorsements, with one from the AFL-CIO set to come Thursday. But Edwards, the senator from North Carolina who campaigned with an anti-free-trade message of economic populism in a state hit hard by the loss of manufacturing jobs, succeeded in achieving his stated goal for weeks: a head-to-head contest with Kerry -- with former Vermont governor Howard Dean further diminished by his weak third-place finish -- as the campaign moves to some of the nation's biggest states for March 2 voting. Edwards's closing surge in Wisconsin, which significantly narrowed what opinion polls had shown was a huge Kerry lead, caught the campaigns and many Democratic strategists by surprise. Still, several strategists predicted that Wisconsin's results are likely to mean only two or at most three more weeks of serious primary competition, and few said they saw any particular downside for the party if that happens. The coming weeks offer an intriguing matchup for Democratic voters.",Newspapers,2015,"person, policy, group",['Edwards campaign']
1656251292,Race for Chicago mayor splitting Democrats apart over economic issues (Posted 2015-02-19 14:12:00),1/1/2015,WP Company LLC d/b/a The Washington Post,"The race remains surprisingly competitive, and it has crystallized some of the deep internal divisions in the Democratic Party as it prepares for the 2016 presidential campaign. Garcia has emerged as a nothing-to-lose dissenting liberal voice who has channeled frustration with Emanuel's rocky first term into an aggressive campaign against the mayor. The Chicago fight has become the latest front in a simmering nationwide battle between the establishment governing wing of the Democratic Party and a more restive, populist wing that is demanding a more openly liberal agenda. Garcia, a Cook County commissioner, has picked up the torch of the economic populist movement embodied by Sen. Elizabeth Warren (D-Mass.) and New York Mayor Bill de Blasio. Emanuel is being cast as part of the establishment that includes Obama and Hillary Rodham Clinton and has been accused of being too cozy with Wall Street and big banks at the expense of average Americans. There's little doubt that Emanuel will finish well ahead of Garcia and three other challengers in Tuesday's election.",Web Resources,2015,"person, group, ideology",['economic populist movement']
3126409979,None of the conventional explanations for Trump’s victory stand up to scrutiny,11/9/2024,Guardian News & Media Limited,"Without civil society and without strong unions, people believe the only path to success is getting one over on someone else. And who is better at that than Trump?While the core of the resurgent-left generation of Sanders was downwardly mobile college-educated professionals, selling their labor for wages without the prospect of buying a house or retiring on a pension, the second wave of newly aging-in Trump voters entered adulthood without even those prospects, hoping only to grind out a living through scams. But this is fundamentally an anti-social and anti-humanist mode of economic activity that contributes nothing to society and offers nothing but alienation to its victims. The result is people willing to vote for someone they know will cause immense harm to others, hoping it will help them personally.While the new right has made great hay of returning to a communitarian model of politics, economically populist, socially conservative, and focused on family and society, the truth is that the Trumpist movement is the opposite. It is hostile to the very concept of society and community. To combat this, we need an unabashedly pro-society left.The way to win back power for a solidaristic and humanist politics is to rebuild working-class democratic institutions. In 2020, Sanders asked the question: “Are you willing to fight for someone you don’t know?” This is the question we must ask over and over again and the work we must do is making sure the answer becomes yes.It will be hard: the right knows that their kryptonite is organization and community, which is why they plan to launch relentless attacks on leftwing organizations and unions.",Web Resources,2024,"person, ideology, group","['Sanders supporters', 'working class']"
1638753435,"Warren rises, clinton stalls",12/21/2014,"Boston Globe Media Partners, LLC","A second team, Democracy for America, has bolted from its pro-Clinton founder and is using $250,000 on a similar pro-Warren effort.             Clinton still appears likely to clinch a nomination, particularly if Warren keeps her pledge not to run. But the difficulties of 2014 are casting her race in a different light, raising questions about liberal dissatisfaction with her record and whether a leftward shift would hurt her in a general election.             ""There are a lot of unchecked boxes with Hillary Clinton when it comes to economic populism and corporate accountability,"" said Adam Green, cofounder of the Progressive Change Campaign Committee, a liberal group. ""There are definitely red flags.""             He cited pricey speaking fees that Clinton received at two events for Goldman Sachs, a Wall Street investment bank, and questions about her position on numerous policies that affect the middle class, such as a long-shot hope to expand Social Security benefits.             The group, while not part of the draft effort, has sent an organizer to New Hampshire in hopes of creating a coalition that ensures that candidates carry Warren's message.             At the very least, these liberal groups hope to use her momentum to push Clinton in a direction more aligned with a populist agenda.",Newspapers,2014,"person, group, policy, ideology","['Progressive Change Campaign Committee', 'Democracy for America']"
1450070501,The woman Wall St fears emerges as Clinton threat,11/13/2013,Independent Digital News & Media,"Warren, 64, has made her name as a critic of the financial industry. Clinton, by contrast, is thought of as sympathetic to Wall Street; her husband presided over widespread deregulation while in the White House. If the issue remains at the forefront of voters' minds by 2016, the magazine argues, activist enthusiasm for a Warren candidacy could spread. Markos Moulitsas, publisher of the liberal blog Daily Kos, told the New York Times: ""[Warren] is reshaping the Democratic Party and leading its charge toward a more economic populist orientation.""


Democrat Bill de Blasio's recent victory in the New York mayoral election, on a platform of correcting income inequality, has also emboldened grassroots Democrats. Adam Green, co-founder of the Progressive Change Campaign Committee, told The New Republic that his fellow progressives were yet to be sold on the predicted Clinton candidacy. ""There's very much a wait-and-see approach to Hillary among progressives,"" he said. ""It's mutually exclusive to be a real hero for reform and accountability and to have a [fund-raising] strategy that relies on Wall Street.""


Disillusion with the financial system led in part to the present fissure between mainstream Republicans and the Tea Party.",,2013,"person, ideology, group","['progressives', 'grassroots Democrats']"
2190030794,Dems' pick makes big political point,3/12/2019,Gannett Media Corp,"That makes a concerted outreach to working-class voters in the industrial Midwest a very reasonable strategy for the party. It wasn't that long ago that Obama performed well with these voters. And in 2018, Sen. Tammy Baldwin, a Madison progressive, won 17 ""Trump counties"" in Wisconsin and lost non-college whites statewide by only five points after running a campaign that combined economic populism, parochial Wisconsin themes, health care advocacy and heavy outreach outside Madison and Milwaukee. In addition to being political platforms for the parties, conventions are also used by the  media to tell political stories and shape political narratives. A Wisconsin convention will conjure up a different blend of political themes and stories than a Texas or Florida convention would have. We mentioned one big one already: the erosion of Democratic support across rural America and among white voters without college degrees, which led to the remarkable number (more than 500) of Wisconsin communities that voted for both Obama in 2012 and Trump in 2016.",Newspapers,2019,"person, policy, group",['working-class voters']
