GOID,Title,Date,Publisher,sent_of_interest,Sourcetype,Year,claude_category,policy
1786228106,"Clinton to bend, slightly, to woo Sanders voters",5/3/2016,Gannett Media Corp,"Polls show only a little more than a third of voters consider her ""honest"" and ""trustworthy."" However, Democrats are betting if Donald Trump is the Republican nominee, he'll drive moderate suburban swing voters, and possibly some Republican women, into Clinton's column. That means the risks that come with alienating the Democratic base may be greater than those of failing to court  centrist voters. ""They may not need to move too far to the center because many of these suburban swing voters are so repelled by Trump,"" said Larry Jacobs, a presidential politics scholar at the University of Minnesota. The Clinton campaign also believes economic populism is now mainstream in both parties. It held back a middle-class tax cut plan during the primary, believing that rolling it out in the general election will energize  both moderates and progressives. While her tax measures thus far have focused on specific tax credits, the campaign is now aiming to deliver a broader middle-class tax relief plan with a specific dollar amount, according to one aide. Clinton telegraphed the approach in a speech a week ago after sweeping four of five Eastern primaries that all but mathematically extinguished Sanders' hopes of clinching the nomination.",Newspapers,2016,"person, policy","['middle-class tax cuts', 'tax credits']"
2262107295,"Trump Relies on Populist Language, but He Mostly Sides With Corporate Interests",7/23/2019,New York Times Company,"Since he became president, Mr. Trump has largely operated as a conventional Republican, cutting taxes that benefit high-end earners and companies, rolling back regulations on corporations and appointing administration officials and judges with deep roots in the conservative movement. His approach has delighted much of the political right. It has also relieved Democrats. “Just imagine if Trump married his brand of cultural populism to economic populism,” said Representative Brendan F. Boyle, a Democrat who represents a working-class district in Philadelphia. “He would be doing much better in the polls and be stronger heading into the general election.”
It is a question many Democrats still fret over: What would Mr. Trump’s prospects for re-election look like if he pressured Senator Mitch McConnell, the majority leader, into passing bipartisan measures to spend billions of dollars on infrastructure, lower the cost of prescription drugs and increase the minimum wage? Some officials in organized labor say those actions would appeal broadly to their rank-and-file and, in some cases, prompt individual unions to stay on the sideline of the presidential race.",Web Resources,2019,"person, policy, ideology","['infrastructure spending', 'regulation of drug prices', 'higher minimum wage']"
2778646490,Democratic Report Explores Blue-Collar Struggles: ‘Our Brand Is Pretty Damaged’,2/22/2023,New York Times Company,"chipmaking efforts. The challenge, the report said, is to ensure that voters know about those developments, and that they can connect the legislation to their daily lives. “Most voters are not following national news or the details of the legislation, and many haven’t yet seen the impact on their lives,” the report said. “Working-class voters outside of the big metro areas are still leading pretty tough lives, so we have to balance the story of our success on policy with the recognition of those hard times.”
The report also urged Democrats to combine traditional economic populist messaging and policies with strong emphasis on support for small businesses, as well as unions. “Most working-class folks very much think of small-business owners as part of the working class,” the report said. It added, “Democrats and progressive issue advocates should always talk about how much they care about small businesses doing well, and should be specific about the ways they want to help the small-business community.”

2024 looks competitive — and there’s early interest in DeSantis. 
Early head-to-head presidential matchups between Biden and former President Donald Trump, and Biden and Gov.",Newspapers,2023,"policy, ideology","['support for small businesses', 'support for unions']"
2341446558,BATSUKH: America needs a free trade party,1/20/2020,"Uloop, Inc.","With the pronounced benefits of free trade and the current era of unmatched prosperity the world enjoys as a result of globalization, politicians should champion this most pluralistic institution. However, they have failed to adequately fight for freer trade. President Donald Trump ran on renegotiating NAFTA, and has almost assuredly succeeded in passing the more protectionist United States-Mexico-Canada Agreement with flying bipartisan colors. The unholy matrimony of labor interests and right wing economic populists that flocked to trade restrictions after the passage of NAFTA in 1994 has finally come to fruition. Today’s GOP has largely abandoned its former alliance with Reaganite free trade in favor of tariffs on allies and trade wars with China. This has had measured adverse effects on the very sectors meant to be aided by protectionist policy — manufacturing and agriculture. There is some promise still on the right side of the aisle, such as Senator Chuck Grassley’s (R-Iowa) suggestion that the executive’s authority to levy tariffs could be reduced.",Newspapers,2020,"person, policy, group","['trade protectionism', 'tariffs']"
2041686606,Robert B. Reich: Trump's curious coalition,5/21/2018,Tribune Content Agency LLC,"Since becoming president, Trump has sought to reward both sides of this coalition -- tossing boatloads of money to the ownership class and red meat to the white working class. One boatload is the corporate and individual tax cut, of which America's richest 1 percent will take home an estimated 82 percent by 2027, according to the Tax Policy Center. Another boatload is coming from government itself, which Trump has filled with lobbyists who are letting large corporations do whatever they want -- using public lands, polluting, defrauding consumers and investors, even employing children -- in order to push profits even higher. Trump's red meat for the white working class is initiatives and tirades against unauthorized immigrants and foreign traders -- as if they're responsible for the working class's lost ground -- and other symbolic gestures of economic populism, along with episodic racist outbursts, and support for guns and evangelicals. Every time Trump sends more money to the wealthy, he sends more red meat to his base. Weeks ago, after announcing he'd seek another big tax cut before the midterm elections -- ""phase two,"" as he termed it -- he threatened China with a trade war; arranged another crackdown on unauthorized immigrants, including a carefully choreographed plan to break up families at the border and attack sanctuary cities; and vowed to go after pharmaceutical companies. Yet red meat goes only so far.",Newspapers,2018,"person, policy, ideology","['trade protectionism', 'tax cuts']"
2147600727,After Trump,11/19/2018,"Condé Nast Publications, Inc.","It featured several proposals to make it easier to vote (such as voting by mail and holding elections on holidays), an end to gerrymandering, and limits on campaign contributions and spending. It’s an idealistic plan, but it’s also different from the messages coming from the ideological left wing of the Party. Patrick, who speaks little about income inequality, does not highlight the drive for a fifteen-dollar-an-hour minimum wage, as Sanders has done, or seek to refine the obligations of corporate citizenship and to lower pay disparities, as Warren has proposed. He never has been an economic populist, and he’s uniquely ill-suited to become one.Patrick attended Harvard College and Harvard Law School, from which he graduated in 1982, nine years before Obama. He clerked for Stephen Reinhardt, a liberal on the Ninth Circuit Court of Appeals, in Los Angeles, passed the California bar on his third attempt, and went to work for the N.A.A.C.P. Legal Defense and Educational Fund, where he litigated voting-rights and death-penalty cases. At one point, he brought a lawsuit against the state of Arkansas and met the governor, Bill Clinton.",Magazines,2018,"person, policy","['voting by mail', 'campaign finance reform']"
2045956628,Obama turns left,12/13/2013,POLITICO LLC,"Give up on the Trans-Pacific Partnership trade deal talks, Ellison said, and insist that any tax reform bill come with enough closed loopholes to be revenue-positive.  “Until he says stuff like that, we’ve got a problem,” Ellison said, who noted that he felt the president’s income inequality speech was “awesome.”  Ellison knows that’s asking for a significant change from the president — but a necessary one.  “It’s tough to align a political vision with political action,” Ellison said. “To say we should go through Congress is like saying we should get Stevie Wonder to drive himself to the studio.”  In their “Economic Populism Is a Dead End for Democrats” Wall Street Journal op-ed, leaders of the Third Way centrist Democratic think tank caused an internal party explosion by saying having de Blasio and Warren as a “guiding star” nationally would be disastrous. But Third Way vice president Matt Bennett says the op-ed was really about opposing a run toward Social Security expansion, which he called bad politics and bad policy because there’s no clear way to pay for it.  Based on the income inequality speech, Bennett said Obama appears to be hitting the right balance and tone.  “What Obama understands is that anger is not enough in American politics.",Web Resources,2013,"person, policy, group, ideology",['Social Security expansion']
2793925891,Populism and economy,4/1/2023,"ContentEngine LLC, a Florida limited liability company","For most theorists of democracy, such as Philippe C. Schmitter, they point precisely to the over-dimensioning of citizens' expectations as a flaw of democracy. In this way, its relationship with political time, the distinctive character of populism, is well explained; in this regard Hermet (2003) insists, ""this immediate temporality, both anti-political and dreamlike, which ignores the need to ""give time to time"" characterizes populism in an exclusive or discriminating way.Within the extensive and complex academic, intellectual and even daily debate around populism, the theoretical and academic possibility of discerning about the relationship between populism and economics and if possible about economic populism arises. Some authors such as (Delgado, 2017, p.25) go so far as to state that ""populism, as we have pointed out, has been a product in part of the failures or inefficiencies of the free market economy""We highlight a phenomenon that has been widely described in the literature written about populism and that we can exemplify relatively easily. The ""re-distribution"" of wealth forms a central part of the populist ""proposal"", where the organic functioning of the assumptions of supply and demand or elasticity is often not taken into account; it is important to add that these experiences coincide in another point, namely, the non-generation of new wealth, but rather a discretionary use of public funds, with an absolute absence of fiscal and financial control of State institutions, which in turn resulted in a complex web of clientelistic relationships forged basically for purely electoral purposes.This distorts the processes and organic forces of the market, exceeding the ""normal"" performance of the State in the economy, generally assuming a centralist and planning role, a point where they coincide with the socialist economic model in its Soviet and Cuban expressions; although we also identify ""right-wing"" expressions of economic populism. At this point, the nefarious variable of corruption, typical of the aforementioned systems, enters into the equation.",Newspapers,2023,"ideology, policy","['wealth redistribution', 'state economic planning', 'increased state intervention in markets']"
3129919106,Trump made biggest gains in Northeast Pa. communities Election 2024,11/13/2024,"Tribune Publishing Company, LLC","In the previous election, then-President Barack Obama beat Republican Mitt Romney by 27 points in the county. In 2020, Biden appeared to have reversed the trend, beating Trump by 8 percentage points in the county. But Trump struck back this year by shrinking his deficit to just 3 points against Harris. Those swings are emblematic of Rust Belt cities across the country, where working-class voters who were long loyal Democratic voters have embraced Trump's economic populism, including his protectionist trade agenda. Trump saw a combined swing of 2.5 percentage points in his margins in the 10 counties of Northeast Pennsylvania. He got 6% more votes this year there than in 2020, while Harris got 4% fewer votes than Biden in 2020. In the state's other 57 counties, the combined swing to Trump was only 0.9 points, with the former president getting 4% more votes than in 2020, and Harris 3% less than Biden.",Newspapers,2024,"person, policy, group",['trade protectionism']
2937560307,How the White Working Class Got Played,2/21/2017,"Uloop, Inc.","It is clear that many working class Americans put their faith in the Republican nominee in hopes that he would make good on his promises to curtail the influence of the financial elite, rid the government of corruption and restore economic prosperity to the middle class. Now, in Feb. 2017, a month-long look into the economic policies of the Trump administration has already provided more than enough insight into Trump’s real economic priorities. Unfortunately for those disaffected voters who hoped that Trump might remain an economic populist as President, it seems that the United States is now barreling at an even faster pace toward oligarchy. On Nov. 13, only a few days after his election as President, Trump announced that Stephen Bannon (net worth $10 million), a former Vice President at Goldman Sachs and executive chair of Breitbart News, would serve as Chief Strategist to the White House. On Nov.",Newspapers,2017,"person, policy, ideology",[]
2273106035,Is Josh Hawley the Future of the G.O.P.?,8/15/2019,New York Times Company,"Listen and subscribe to our podcast from your mobile device:
 Apple Podcasts | Spotify | Google Play | RadioPublic | Stitcher
Is Missouri Senator Josh Hawley the future of the Republican Party? This week on “The Argument,” Ross Douthat sits down with the first-term lawmaker to discuss the conservative case for cracking down on powerful tech companies and reducing the price of prescription drugs. They discuss who the 2017 Republican-passed tax law really helped and whether conservative economic populism can exist free of President Trump’s racism. Then, Michelle Goldberg and David Leonhardt join Ross to debate Hawley’s ideas. Hawley’s talk of “the American middle” and “cosmopolitans” smacks of racism and anti-Semitism, says Michelle. David is skeptical that Hawley’s more populist stances will lead Republicans to compromise with Democrats on economic issues.",Web Resources,2019,"person, policy, ideology",['regulation of drug prices']
2654007420,John Fetterman vs. Every Predatory Financier in America,4/25/2022,Newstex,"On the Democratic side, Pennsylvania Lt. Gov. John Fetterman has enjoyed a sizable lead over Congressman Conor Lamb in all available polling. On the Republican side, financier and Bridgewater CEO and hedge fund manager David McCormick looks to have a narrower lead over Mehmet Oz, best known for his role as a daytime TV talk show doctor, who is also endorsed by Donald Trump.Fetterman is running as a clear economic populist, with a rough-cut persona and a towering 6'8"" frame to match. Long a champion of a $15 minimum wage and Medicare for All, Fetterman has built a reputation in Pennsylvania criticizing the excesses of financial capitalism and its role in hollowing out places like Braddock, Pennsylvania, the deindustrialized town that chose him as their mayor in 2005. Frequently, he’s called on the superrich to pay more in taxes—he wants to end the carried interest loophole, which allows hedge fund managers to get away with near-zero tax rates, and has endorsed policies ensuring that millionaires pay no less than 30 percent of their income in taxes and ending inversions and offshore subsidiaries.More from Alexander SammonThough coverage of the race has focused on those larger-than-life personalities, the most notable development in these final weeks has been the infusion of colossal quantities of Wall Street cash. In both the Democratic and Republican primaries, America’s class of financial managers has taken an overwhelming interest in the seat, and has made generous commitments to playing both sides of the aisle.In the Democratic primary, the billionaire class is playing an outsized role in propping up Conor Lamb’s sagging electoral chances.",Web Resources,2022,"person, policy, ideology","['higher minimum wage', 'Medicare for All', 'taxing corporations/the rich']"
1772356891,Jobs are up but wages lag as Ohioans head to the polls,3/10/2016,Tribune Content Agency LLC,"Ted Cruz -- want to spur job creation by lowering taxes and shedding regulations. Page isn't impressed, describing the political discourse as ""just noise."" ""I've heard it all before,"" he said. ""I have no hope for the American government at all. Whoever they put in office; the working man is still going to get shafted."" DISSATISFIED VOTERS Marshall of Miami University said frustration with mainstream policies and politicians has fueled a kind of economic populism that has served to elevate the campaigns of Trump and Sanders, a self-proclaimed ""democratic socialist."" Trump has promised to build a wall along the U.S. southern border to enhance security and protect jobs from illegal immigrants while renegotiating trade agreements to bring lost jobs back in hordes. Meanwhile, Sanders promises to make tuition free at public colleges and universities While such campaign promises seem unrealistic to many political pundits, they resonate with deeply dissatisfied voters, fueling the record turnouts that have occurred in numerous states. ""A lot of these voters feel somebody like Trump or Sanders isn't going to be beholding to big business, necessarily, and maybe they really can deliver something different than their establishment counterparts,"" Marshall said.",Newspapers,2016,"person, policy, ideology","['trade protectionism', 'restricting immigration', 'free public college']"
1978023468,Republicans anticipate tax bill win this week,12/18/2017,Gannett Media Corp,"Jeff Flake of Arizona and Susan Collins of Maine were undecided about the tax bill Friday. Cornyn said Republicans tried to ""cobble together the votes we needed to get this bill passed, at the same time maintaining the integrity of the largest tax cuts we're going to be seeing since 1986.""
Senate Democrats are likely to oppose the measure. They have slammed the GOP tax plan, saying it favors the rich over middle-class families. ""This is a total betrayal of President Trump's economic populist message on the campaign trail,"" Sen. Chris Van Hollen, D-Md., said on This Week. ""It's a huge giveaway to big corporations. Millions of middle-class taxpayers will see their taxes go up, even though Republicans promised that would not happen.""
Van Hollen said that under the plan, millionaires would get an average tax break of $35,000 a year.",Newspapers,2017,"person, policy, ideology",['tax cuts']
1709150315,Symbolism Over Socialism?,9/1/2015,"Institute for Public Affairs, Inc.","He obviously knows that these are important issues in themselves. But yes, he often seems to change the subject to economics as if they are more fundamental and he shouldn't do that, because, of course, it's not true. 

ANDREA: And that doesn't mean that were necessarily running to Hillary, either-again, quite a few of us remember that she, her husband, and her mostly white female supporters- including feminists-stood against people of color and our issues. 

On the campaign trail, Hillary sounds like an economic populist, but she supported policies like NAFTA, as well as ""reforms"" to welfare and bankruptcy. Which Hillary should we believe? 

LIZA: We should believe her record, which is neoliberal. Her campaign rhetoric is pretty much a response to market research and most likely, it ends there.",Magazines,2015,"person, policy",['trade protectionism']
2826732178,Trump signs order targeting visa abuses as he touts tools 'made in the USA',4/18/2017,Guardian News & Media Limited,"Donald Trump promised to take a “sledgehammer” to what he considered job-killing regulations as he signed an executive order to crack down on fraud and abuse in foreign worker programmes.Hitting a familiar note on economic populism, the US president visited a tool manufacturing company in Kenosha, Wisconsin, and signed a “Buy American, Hire American” directive that targets the H-1B visa scheme.H-1B visas admit 65,000 workers and another 20,000 graduate student workers each year, mainly in the tech sector. The White House argues that some companies undercut American workers by bringing in cheaper foreign labour on a temporary basis.“We believe that jobs must be offered to American workers first – does that make sense?” Trump asked a supportive crowd at the headquarters of Snap-on. “Right now, widespread abuse in our immigration system is allowing American workers of all backgrounds to be replaced by workers brought in from other countries to fill the same job for sometimes less pay.“This will stop. American workers have long called for reforms to end these visa abuses and today their calls are being answered for the first time.”Trump said reform of the H-1B visa scheme was long overdue.",Web Resources,2017,"person, policy",['restricting immigration']
2493463854,Demand Progress and Revolving Door Project Release Personnel Report Card on the Biden Administration's Appointments,2/26/2021,Targeted News Service,"Notably, she has moved to create a senior climate post within the Treasury Department and is urging the International Monetary Fund to release a quasi-currency ""special drawing rights"" to help poorer nations weather the pandemic and economic fallout. But the $7.2 million Yellen earned giving corporate speeches suggest there's cause to keep a watchful eye. We hope this doesn't impact her policymaking.* Brian Deese, director of the National Economic Council, deserves cautious optimism. While progressives have had concerns about his past alignment with Larry Summers and Robert Rubin, as well as his work at financial behemoth BlackRock post-Obama administration, he has been responsive to economic populist concerns in crafting the COVID relief bill and bringing in strong progressive personnel like former Elizabeth Warren aide Bharat Ramamurti as NEC deputy director and former CFPB Deputy Director Leandra English as NEC Chief of Staff.* Cecilia Rouse, Heather Boushey, and Jared Bernstein are solid picks for the Council of Economic Advisers with strong progressive bona fides.* Marcia Fudge was unfortunately passed over for Secretary of Agriculture, but was instead chosen for head of Housing and Urban Development. She has sent early signals that she will prioritize both gender and racial equity, and is ready to push for expanded funding for housing aid. In Congress, she has focused on support for low-income and poor families, primarily focusing on health, education, and expanded employment opportunities (including a jobs guarantee pilot).* Gina Raimondo's nomination for Secretary of Commerce is the most glaring problem in this space. Her record of selling out state pensioners to Wall Street hedge funds and cutting aid to poorer cities in the middle of the COVID crisis should not have been rewarded with a cabinet post.",Newspapers,2021,"person, policy","['expanded housing aid', 'jobs guarantee pilot', 'support for low-income families']"
3126842380,GOP Gains in Progressive State Houses,11/12/2024,Dow Jones & Company Inc.,"While expanding government, liberal populists have discouraged private business growth. Minnesota and Michigan have been losing jobs in manufacturing and other private industries for two years. Almost all of the new jobs added in both states since Democrats seized control in January 2023 have been in government, healthcare and social assistance. Leftwing economic populism also took a hit in Vermont, the home of Bernie Sanders socialism. Republicans flipped 17 seats in the House and six in the state Senate -- the most in at least three decades -- to end the Democrats' supermajority. Republicans beat one Democratic Senator who had served in the Legislature for more than 30 years. Credit goes to GOP Gov.",Newspapers,2024,"person, policy, ideology",[]
